,created,date_time,name,people,area,tags
0,10:59 02/08/2019,11:20 02/08/2019,CollinTuck,12,inside,
1,10:47 02/08/2019,11:28 02/08/2019,CallieMend,2,inside,
2,16:18 01/08/2019,13:01 02/08/2019,KeonMoon,8,inside,
3,19:40 01/08/2019,13:04 02/08/2019,JoselynSal,4,inside,
4,11:15 02/08/2019,13:32 02/08/2019,ClarenceBa,4,inside,
5,19:33 01/08/2019,13:32 02/08/2019,FrankKerr,6,inside,
6,18:03 01/08/2019,13:47 02/08/2019,KinsleyRol,3,inside,
7,11:52 01/08/2019,13:54 02/08/2019,BenjaminBr,6,inside,
8,12:12 02/08/2019,14:16 02/08/2019,ClaireHale,4,inside,
9,14:11 02/08/2019,14:40 02/08/2019,KeaganMeza,2,inside,
10,13:29 02/08/2019,14:51 02/08/2019,LylaMadden,3,inside,
11,10:38 02/08/2019,15:02 02/08/2019,KasonMcgra,6,inside,"babychair,"
12,13:50 01/08/2019,15:47 02/08/2019,NicholasAr,5,inside,
13,17:23 25/07/2019,16:08 02/08/2019,SharonHend,6,inside,
14,14:49 02/08/2019,16:11 02/08/2019,BaileyCont,4,outside,"smoking,"
15,15:47 02/08/2019,16:30 02/08/2019,KaileeFran,6,inside,
16,18:55 01/08/2019,16:31 02/08/2019,ValentinMc,6,inside,
17,16:13 02/08/2019,16:41 02/08/2019,JayleeRay,2,inside,
18,16:24 02/08/2019,17:04 02/08/2019,TatianaFra,2,outside,
19,15:01 02/08/2019,17:15 02/08/2019,IsraelSnyd,2,inside,
20,17:09 02/08/2019,17:31 02/08/2019,ThomasBass,3,inside,
21,18:32 31/07/2019,17:56 02/08/2019,YamiletDye,10,inside,
22,14:39 02/08/2019,17:58 02/08/2019,ArnavMccar,3,inside,
23,12:15 02/08/2019,18:01 02/08/2019,TamiaDelga,3,outside,
24,12:11 02/08/2019,18:05 02/08/2019,RoryJordan,9,inside,
25,13:27 02/08/2019,18:08 02/08/2019,MariyahRee,4,inside,
26,09:09 02/08/2019,18:11 02/08/2019,GaryFlower,3,inside,
27,12:07 29/07/2019,18:20 02/08/2019,AtticusEri,9,inside,
28,19:55 01/08/2019,18:23 02/08/2019,NoraKent,4,inside,
29,11:51 31/07/2019,18:27 02/08/2019,CoreySchro,3,inside,
30,21:37 01/08/2019,18:31 02/08/2019,CarolineHi,6,outside,
31,17:48 02/08/2019,18:32 02/08/2019,MacieAshle,6,inside,
32,09:56 01/08/2019,18:35 02/08/2019,ShaniaPhel,5,outside,"smoking,"
33,16:06 30/07/2019,18:37 02/08/2019,LeonidasNa,4,inside,
34,18:33 31/07/2019,18:38 02/08/2019,MylesBeard,3,inside,
35,11:15 01/08/2019,18:38 02/08/2019,AdrienRand,3,inside,
36,11:28 30/07/2019,18:38 02/08/2019,KeeganLeon,5,inside,
37,18:06 01/08/2019,18:42 02/08/2019,RyannMonto,5,outside,"smoking,"
38,16:40 29/07/2019,18:43 02/08/2019,DeborahFig,6,inside,
39,11:32 01/08/2019,18:44 02/08/2019,TyTrujillo,4,inside,
40,19:24 01/08/2019,18:58 02/08/2019,GrahamFran,2,inside,
41,17:56 01/08/2019,19:00 02/08/2019,KaelynCars,2,inside,
42,16:02 02/08/2019,19:00 02/08/2019,JorgeFrede,4,inside,
43,12:06 02/08/2019,19:03 02/08/2019,SerenaStep,6,inside,
44,12:55 02/08/2019,19:03 02/08/2019,JoeyBall,5,inside,"babychair,"
45,18:09 29/07/2019,19:04 02/08/2019,TuckerWhit,6,inside,
46,18:28 02/08/2019,19:14 02/08/2019,EdwardDods,3,inside,
47,13:10 02/08/2019,19:14 02/08/2019,Alexzander,4,inside,
48,13:04 02/08/2019,19:20 02/08/2019,AldoOrtega,4,inside,
49,12:51 02/08/2019,19:22 02/08/2019,ChasityAre,2,outside,
50,11:27 02/08/2019,19:24 02/08/2019,DevynFarle,2,outside,"smoking,"
51,15:09 02/08/2019,19:34 02/08/2019,YaretziRus,3,inside,
52,11:30 31/07/2019,19:37 02/08/2019,PatienceBl,2,outside,
53,11:45 02/08/2019,19:38 02/08/2019,JustusDunc,4,inside,
54,16:39 01/08/2019,19:53 02/08/2019,AnabellaWa,2,outside,"smoking,"
55,14:55 31/07/2019,20:00 02/08/2019,AbrahamSan,3,outside,
56,11:09 02/08/2019,20:01 02/08/2019,NadiaGarza,2,outside,
57,15:54 02/08/2019,20:01 02/08/2019,MylesMunoz,5,inside,
58,16:13 01/08/2019,20:02 02/08/2019,PatienceNi,3,inside,
59,11:59 02/08/2019,20:04 02/08/2019,RodrigoArr,3,inside,
60,10:03 02/08/2019,20:04 02/08/2019,BrendaWals,6,inside,
61,17:21 01/08/2019,20:08 02/08/2019,ConnorJohn,4,inside,
62,13:18 01/08/2019,20:10 02/08/2019,RyannMonto,2,inside,
63,21:48 31/07/2019,20:10 02/08/2019,AllieMatth,5,inside,elder
64,12:28 01/08/2019,20:15 02/08/2019,AbrahamSan,6,inside,
65,19:43 17/07/2019,20:20 02/08/2019,TaniaSuare,6,inside,
66,14:39 02/08/2019,20:22 02/08/2019,RoccoMccon,4,inside,
67,13:53 01/08/2019,20:22 02/08/2019,DevinLee,4,inside,
68,16:35 28/07/2019,20:22 02/08/2019,DeandreLe,3,inside,
69,18:08 27/07/2019,20:24 02/08/2019,FinnBridge,4,inside,
70,11:50 31/07/2019,20:26 02/08/2019,NevaehGeor,4,inside,
71,11:13 02/08/2019,20:28 02/08/2019,BrodyErick,2,inside,
72,10:01 26/07/2019,20:30 02/08/2019,BenCantrel,6,inside,
73,13:35 01/08/2019,20:31 02/08/2019,AntwanRitt,8,inside,
74,17:35 02/08/2019,20:34 02/08/2019,HowardBenn,4,inside,
75,10:24 31/07/2019,20:34 02/08/2019,TraceThomp,3,inside,
76,17:28 31/07/2019,20:34 02/08/2019,DominickMa,6,inside,
77,11:12 02/08/2019,20:34 02/08/2019,CeliaKlein,3,inside,
78,14:21 28/07/2019,20:37 02/08/2019,JoyceBuckl,6,inside,
79,22:11 28/07/2019,20:40 02/08/2019,LeandroDav,4,inside,
80,14:00 01/08/2019,20:42 02/08/2019,JamarcusAn,2,outside,
81,11:50 01/08/2019,20:45 02/08/2019,ColemanFos,2,outside,"smoking,"
82,16:19 01/08/2019,20:47 02/08/2019,GenesisLut,3,outside,
83,11:48 01/08/2019,20:48 02/08/2019,SelahAndre,3,inside,
84,10:39 02/08/2019,20:49 02/08/2019,RaelynnRei,5,inside,
85,13:16 02/08/2019,20:56 02/08/2019,NatalyKauf,2,inside,
86,15:55 02/08/2019,20:58 02/08/2019,KaleStrick,5,outside,
87,13:23 02/08/2019,21:01 02/08/2019,RandallMue,4,inside,
88,10:40 26/07/2019,21:03 02/08/2019,KylerLi,2,inside,
89,16:31 02/08/2019,21:03 02/08/2019,YasmineMci,2,inside,
90,15:45 02/08/2019,21:04 02/08/2019,HalleArnol,2,outside,"smoking,"
91,16:14 02/08/2019,21:05 02/08/2019,MeganQuinn,2,outside,
92,13:43 02/08/2019,21:07 02/08/2019,GiulianaWe,2,outside,"smoking,"
93,11:16 02/08/2019,21:08 02/08/2019,RaelynnWu,3,outside,
94,15:52 02/08/2019,21:10 02/08/2019,GeorgeBrig,2,inside,
95,16:09 02/08/2019,21:10 02/08/2019,WarrenMcdo,4,inside,
96,19:09 02/08/2019,21:17 02/08/2019,AlexisPere,2,inside,
97,15:00 02/08/2019,21:18 02/08/2019,WhitneyKen,2,inside,
98,15:24 02/08/2019,21:19 02/08/2019,MaliaBlack,2,outside,
99,20:24 02/08/2019,21:32 02/08/2019,PhilipJime,2,outside,
100,11:28 02/08/2019,21:49 02/08/2019,MarceloFue,2,outside,
101,14:56 02/08/2019,21:51 02/08/2019,KarinaLars,3,inside,
102,18:49 02/08/2019,21:57 02/08/2019,MicaelaSte,2,inside,
103,21:03 28/07/2019,22:05 02/08/2019,EmmanuelLo,7,inside,
104,20:51 02/08/2019,22:07 02/08/2019,EmiliaLync,4,inside,
105,21:30 02/08/2019,22:16 02/08/2019,EliannaBuc,2,outside,
106,22:09 02/08/2019,22:23 02/08/2019,AspenRitte,2,outside,
