,created,date_time,name,people,area,tags
0,17:04 22/08/2019,10:05 23/08/2019,JaggerHarp,9,inside,
1,15:53 22/08/2019,11:04 23/08/2019,AvaLynch,2,inside,
2,09:08 23/08/2019,11:22 23/08/2019,RaymondHar,3,inside,
3,17:53 20/08/2019,11:30 23/08/2019,KylanFord,6,inside,
4,15:00 19/08/2019,12:07 23/08/2019,AmariWebst,3,inside,"babychair,"
5,14:24 22/08/2019,12:08 23/08/2019,SanaaLewis,12,inside,
6,11:45 23/08/2019,12:17 23/08/2019,AaravIngra,3,inside,
7,11:31 23/08/2019,12:53 23/08/2019,BridgetMur,6,inside,
8,14:02 18/08/2019,12:58 23/08/2019,VanSherman,2,inside,
9,12:25 21/08/2019,13:15 23/08/2019,KendallRan,2,inside,
10,12:25 23/08/2019,13:15 23/08/2019,ScarletHan,4,inside,
11,11:59 23/08/2019,13:29 23/08/2019,RodneyWats,7,inside,
12,15:41 22/08/2019,14:05 23/08/2019,MollieTorr,15,inside,
13,13:41 23/08/2019,14:31 23/08/2019,CamilleCon,7,inside,
14,10:14 18/08/2019,14:58 23/08/2019,KrishMontg,6,inside,
15,14:26 23/08/2019,14:59 23/08/2019,AmandaTodd,2,inside,
16,14:42 23/08/2019,15:01 23/08/2019,ChloeFergu,4,inside,
17,10:57 23/08/2019,15:19 23/08/2019,MattieDoyl,4,inside,
18,14:35 23/08/2019,15:21 23/08/2019,ReinaKane,5,inside,
19,13:23 21/08/2019,15:51 23/08/2019,CamronPowe,6,inside,
20,10:59 23/08/2019,16:46 23/08/2019,NatalyKauf,8,inside,
21,19:14 08/08/2019,17:10 23/08/2019,AthenaVill,10,inside,
22,21:35 22/08/2019,17:41 23/08/2019,SanaiOwens,8,inside,
23,13:18 22/08/2019,17:44 23/08/2019,JamiyaFrie,2,inside,
24,15:16 23/08/2019,17:52 23/08/2019,LaineyDavi,2,outside,
25,14:42 20/08/2019,17:57 23/08/2019,LaytonGall,4,outside,
26,09:39 23/08/2019,17:59 23/08/2019,SavionJenk,6,inside,
27,20:38 19/08/2019,18:00 23/08/2019,AndersonCu,10,inside,
28,14:08 23/08/2019,18:02 23/08/2019,AllieMatth,5,inside,
29,17:53 21/08/2019,18:02 23/08/2019,MacieAshle,8,inside,
30,17:07 23/08/2019,18:10 23/08/2019,DesiraeCer,4,inside,
31,11:00 20/08/2019,18:12 23/08/2019,ArnavMccar,2,inside,
32,19:04 03/08/2019,18:14 23/08/2019,HoldenCraw,10,inside,
33,17:43 20/08/2019,18:15 23/08/2019,IreneMoore,6,inside,"babychair,"
34,20:42 21/08/2019,18:16 23/08/2019,BeatricePa,3,inside,
35,12:21 22/08/2019,18:18 23/08/2019,RaquelConn,4,outside,
36,16:57 23/08/2019,18:22 23/08/2019,JaimeShaff,4,outside,
37,17:47 22/08/2019,18:27 23/08/2019,SullivanMc,4,inside,
38,12:53 23/08/2019,18:28 23/08/2019,LydiaCalla,3,inside,
39,12:25 19/08/2019,18:29 23/08/2019,EileenVega,2,inside,"babychair,"
40,16:18 22/08/2019,18:30 23/08/2019,MakaylaShe,4,inside,"babychair,"
41,17:25 20/08/2019,18:31 23/08/2019,GillianLee,6,inside,
42,09:30 22/08/2019,18:32 23/08/2019,RachelRoss,6,inside,
43,14:17 23/08/2019,18:34 23/08/2019,CarlyLiu,6,outside,
44,10:38 22/08/2019,18:35 23/08/2019,ReinaBarry,3,inside,
45,18:53 18/08/2019,18:37 23/08/2019,ArnavMccar,5,inside,
46,09:38 22/08/2019,18:38 23/08/2019,AnayaHarri,5,inside,
47,14:32 19/08/2019,18:41 23/08/2019,KatherineT,6,inside,
48,09:58 23/08/2019,18:41 23/08/2019,MicahCarde,3,inside,
49,14:05 22/08/2019,18:43 23/08/2019,PatriciaSa,5,inside,
50,22:25 20/08/2019,18:43 23/08/2019,DakotaGeor,7,inside,
51,18:33 22/08/2019,18:50 23/08/2019,AnnGaines,2,outside,
52,21:04 15/08/2019,18:52 23/08/2019,CordellCoo,2,outside,
53,10:37 22/08/2019,18:55 23/08/2019,RobertoHoo,3,outside,"smoking,"
54,16:16 23/08/2019,18:57 23/08/2019,JocelynnPr,2,inside,
55,11:34 23/08/2019,18:59 23/08/2019,QuintinFle,2,inside,
56,13:58 23/08/2019,19:19 23/08/2019,DaisyWilke,2,outside,
57,20:28 21/08/2019,19:30 23/08/2019,MoniqueHay,2,outside,
