,created,date_time,name,people,area,tags
0,20:29 25/08/2019,10:34 30/08/2019,JaronEllio,3,inside,
1,11:59 29/08/2019,11:29 30/08/2019,AnnGaines,4,inside,
2,10:02 30/08/2019,11:48 30/08/2019,KianaPrice,2,inside,
3,16:01 29/08/2019,12:10 30/08/2019,EleanorWar,9,inside,
4,21:49 29/08/2019,12:22 30/08/2019,JulienStua,3,outside,
5,11:49 30/08/2019,12:35 30/08/2019,AbagailObr,6,inside,
6,14:27 26/08/2019,13:04 30/08/2019,MalcolmLeb,3,inside,
7,11:48 30/08/2019,13:05 30/08/2019,CaydenWade,5,inside,
8,10:17 30/08/2019,13:10 30/08/2019,SidneySnyd,5,inside,
9,11:44 30/08/2019,13:46 30/08/2019,ConradGros,4,inside,
10,11:50 30/08/2019,13:55 30/08/2019,KeiraDavid,6,inside,
11,19:42 26/08/2019,13:56 30/08/2019,AniyahSosa,4,inside,
12,10:42 30/08/2019,13:58 30/08/2019,KatrinaPar,4,inside,
13,17:35 29/08/2019,14:14 30/08/2019,ShayleeAgu,4,inside,
14,17:29 26/08/2019,14:14 30/08/2019,TerryPalme,4,inside,
15,17:37 29/08/2019,14:25 30/08/2019,GracelynHa,3,inside,
16,14:10 30/08/2019,14:32 30/08/2019,FernandaBr,6,inside,
17,12:51 30/08/2019,14:47 30/08/2019,MathewKane,6,inside,
18,14:37 30/08/2019,15:02 30/08/2019,DavinMccoy,5,inside,
19,14:04 30/08/2019,15:15 30/08/2019,KamrynMcke,8,inside,
20,10:15 30/08/2019,15:40 30/08/2019,CortezFitz,2,inside,
21,15:20 30/08/2019,15:51 30/08/2019,MarquiseWa,13,inside,
22,13:56 30/08/2019,16:04 30/08/2019,JaydanLope,4,inside,
23,14:44 30/08/2019,16:22 30/08/2019,YamiletMor,3,outside,
24,20:20 24/08/2019,16:55 30/08/2019,AdolfoDick,9,inside,
25,21:51 29/08/2019,17:55 30/08/2019,FinnBridge,2,inside,
26,22:00 29/08/2019,17:59 30/08/2019,JamisonSki,4,inside,
27,21:38 29/08/2019,18:00 30/08/2019,NoemiPowel,4,inside,
28,10:12 30/08/2019,18:02 30/08/2019,EmanuelWeb,5,inside,
29,13:07 28/08/2019,18:02 30/08/2019,LukeMorale,10,inside,
30,09:51 29/08/2019,18:03 30/08/2019,ClaireHale,2,inside,
31,20:34 29/08/2019,18:07 30/08/2019,BradyTurne,8,inside,
32,09:36 30/08/2019,18:10 30/08/2019,MaryHollan,5,inside,
33,16:03 29/08/2019,18:11 30/08/2019,EverettSta,7,inside,
34,22:07 29/08/2019,18:12 30/08/2019,VanSherman,4,inside,
35,12:28 28/08/2019,18:24 30/08/2019,JulioChang,4,inside,
36,12:18 29/08/2019,18:24 30/08/2019,RishiLivin,7,inside,"babychair,"
37,16:13 27/08/2019,18:29 30/08/2019,HadassahAl,7,inside,elder
38,10:46 25/08/2019,18:31 30/08/2019,HanaMahone,5,inside,
39,10:00 27/08/2019,18:31 30/08/2019,CaleCollin,7,inside,
40,14:01 30/08/2019,18:31 30/08/2019,MaddisonHa,5,inside,
41,19:15 29/08/2019,18:32 30/08/2019,TyTrujillo,5,inside,
42,13:35 29/08/2019,18:34 30/08/2019,ReidBurges,5,inside,
43,17:41 29/08/2019,18:36 30/08/2019,OmariMccan,5,inside,
44,09:44 29/08/2019,18:45 30/08/2019,AugustBlev,6,inside,
45,15:30 30/08/2019,18:53 30/08/2019,MackenzieC,2,outside,"smoking,"
46,15:49 30/08/2019,18:58 30/08/2019,DanielleTe,2,outside,"smoking,"
47,12:28 29/08/2019,19:00 30/08/2019,AnnWare,5,inside,
48,10:07 30/08/2019,19:04 30/08/2019,WinstonFis,4,outside,
49,20:00 29/08/2019,19:06 30/08/2019,AdityaYode,3,outside,
50,15:37 30/08/2019,19:08 30/08/2019,RobertCald,3,inside,
51,17:54 30/08/2019,19:08 30/08/2019,AugustWyat,3,inside,
52,14:18 30/08/2019,19:27 30/08/2019,DeborahFig,2,outside,
53,21:07 29/08/2019,19:40 30/08/2019,GiadaLambe,4,inside,
54,16:39 13/08/2019,19:49 30/08/2019,MaliaSheph,7,inside,
55,10:32 30/08/2019,19:52 30/08/2019,MonserratR,2,outside,
56,18:26 29/08/2019,19:52 30/08/2019,IsmaelDurh,4,inside,
57,12:20 30/08/2019,20:03 30/08/2019,MelissaSan,2,outside,
58,19:06 28/08/2019,20:03 30/08/2019,JasmineCha,4,inside,
59,14:21 30/08/2019,20:05 30/08/2019,MalakaiCra,2,outside,
60,15:52 30/08/2019,20:06 30/08/2019,AraceliCar,3,inside,
