,created,date_time,name,people,area,tags
84,21:56 12/03/2021,19:59 09/04/2021,AprilHowe,2,inside,
85,20:37 04/04/2021,20:05 09/04/2021,MckinleyHa,2,inside,
86,14:38 09/04/2021,20:13 09/04/2021,AdalynGree,4,inside,
87,18:26 05/04/2021,20:18 09/04/2021,GriffinWil,5,inside,
88,14:08 05/04/2021,20:31 09/04/2021,SelahAndre,6,inside,
89,17:01 16/03/2021,20:37 09/04/2021,JaimeShaff,2,outside,
90,15:08 06/04/2021,20:40 09/04/2021,AbdullahSt,4,inside,
91,14:14 03/04/2021,20:41 09/04/2021,FabianCole,2,inside,
92,14:24 04/04/2021,20:43 09/04/2021,KeatonBook,4,inside,
93,12:14 04/04/2021,20:44 09/04/2021,DaisyWeber,6,inside,
94,21:32 06/04/2021,20:44 09/04/2021,YamiletNas,6,inside,
95,21:09 06/04/2021,20:56 09/04/2021,KeyonHendr,2,inside,
96,16:40 08/04/2021,20:58 09/04/2021,RaidenDiaz,3,inside,
97,15:19 07/04/2021,20:58 09/04/2021,RobertCald,3,inside,
98,16:45 08/04/2021,20:59 09/04/2021,PaisleyBra,2,inside,
99,18:36 08/04/2021,21:01 09/04/2021,AriaKidd,2,inside,
100,13:47 04/04/2021,21:05 09/04/2021,PaisleyBra,2,inside,
101,14:44 06/04/2021,21:05 09/04/2021,MadeleineD,2,inside,
102,10:49 09/04/2021,21:13 09/04/2021,MarvinVald,2,inside,
103,20:31 29/03/2021,21:16 09/04/2021,DarrenAtki,2,outside,
104,21:48 08/04/2021,21:20 09/04/2021,EverettBar,2,inside,
105,16:21 06/04/2021,21:24 09/04/2021,ScarletHan,3,inside,
106,10:32 09/04/2021,21:30 09/04/2021,MarilynFit,8,inside,
107,20:33 08/04/2021,21:33 09/04/2021,ZaidGomez,2,inside,
108,21:01 09/04/2021,21:51 09/04/2021,MelvinHerr,3,inside,
