,created,date_time,name,people,area,tags
0,10:14 13/08/2019,10:28 16/08/2019,ParkerRiva,4,inside,
1,19:31 15/08/2019,12:08 16/08/2019,GilbertoHa,3,inside,
2,14:04 15/08/2019,12:16 16/08/2019,ReidChambe,4,inside,
3,09:52 16/08/2019,12:25 16/08/2019,ClarenceBa,3,inside,
4,12:09 16/08/2019,12:51 16/08/2019,DarianMcgu,2,inside,
5,15:09 15/08/2019,12:54 16/08/2019,GageSummer,2,inside,
6,11:23 16/08/2019,13:05 16/08/2019,CamdenCost,7,inside,
7,10:56 15/08/2019,13:07 16/08/2019,TrentWare,12,inside,"babychair,"
8,12:30 16/08/2019,13:12 16/08/2019,GiulianaLa,6,inside,
9,20:58 15/08/2019,13:19 16/08/2019,JordynRoja,6,inside,
10,21:37 15/08/2019,13:22 16/08/2019,LilyHickma,8,inside,
11,12:40 16/08/2019,13:28 16/08/2019,ShilohWebb,2,inside,
12,21:34 14/08/2019,13:43 16/08/2019,LydiaCalla,2,inside,
13,13:11 16/08/2019,13:55 16/08/2019,ZaidCarr,4,inside,
14,12:10 16/08/2019,13:55 16/08/2019,AlannahWhi,4,inside,
15,13:10 16/08/2019,14:04 16/08/2019,VictoriaTo,2,inside,
16,17:21 12/08/2019,14:10 16/08/2019,LoganCarde,2,inside,
17,12:21 16/08/2019,14:15 16/08/2019,MarcoHarpe,2,inside,
18,12:39 16/08/2019,14:15 16/08/2019,EmanuelRui,4,inside,
19,12:09 16/08/2019,14:27 16/08/2019,ConradGros,4,inside,
20,11:49 16/08/2019,14:29 16/08/2019,ShylaSteve,4,inside,
21,10:48 16/08/2019,14:36 16/08/2019,AveryMiddl,11,inside,
22,11:30 16/08/2019,14:40 16/08/2019,MckinleyHa,2,outside,
23,13:08 14/08/2019,14:44 16/08/2019,MadelineCo,5,inside,
24,10:56 16/08/2019,15:18 16/08/2019,NehemiahSa,4,inside,
25,16:22 16/08/2019,16:52 16/08/2019,MariaBoyd,2,inside,
26,15:29 16/08/2019,17:03 16/08/2019,TalanBullo,8,inside,
27,13:37 16/08/2019,17:35 16/08/2019,JustusBran,2,inside,
28,22:05 13/08/2019,17:43 16/08/2019,ArelyNelso,10,inside,"babychair,"
29,21:44 04/08/2019,17:45 16/08/2019,DanielLutz,10,inside,"babychair,"
30,21:31 14/08/2019,17:50 16/08/2019,NicholasAr,2,inside,
31,19:57 11/08/2019,17:53 16/08/2019,MarcoHarpe,10,inside,"babychair,"
32,20:13 14/08/2019,17:55 16/08/2019,RodrigoGil,8,inside,
33,10:42 16/08/2019,17:58 16/08/2019,SantosWise,2,outside,
34,19:27 29/07/2019,18:03 16/08/2019,CindyDicke,3,outside,
35,14:37 16/08/2019,18:04 16/08/2019,AnnGaines,2,inside,
36,18:47 15/08/2019,18:09 16/08/2019,DavidPeck,4,inside,
37,16:16 16/08/2019,18:09 16/08/2019,KaiBernard,5,inside,
38,17:38 15/08/2019,18:12 16/08/2019,MohamedBer,5,inside,
39,17:38 16/08/2019,18:13 16/08/2019,CaydenWade,2,outside,
40,19:08 13/08/2019,18:13 16/08/2019,TateCosta,5,inside,
41,18:21 16/08/2019,18:21 16/08/2019,KoleAlexan,4,inside,
42,11:09 16/08/2019,18:22 16/08/2019,DavinDudle,4,outside,
43,19:58 14/08/2019,18:23 16/08/2019,AllisonZim,5,inside,
44,14:34 15/08/2019,18:25 16/08/2019,SteveSchne,5,inside,elder
45,17:40 16/08/2019,18:27 16/08/2019,TalonSween,5,inside,
46,10:41 16/08/2019,18:30 16/08/2019,NikoBarron,2,inside,
47,10:04 15/08/2019,18:31 16/08/2019,JettRobert,6,inside,
48,15:26 13/08/2019,18:32 16/08/2019,MichelleGa,4,inside,
49,11:49 15/08/2019,18:32 16/08/2019,JanaeShepp,5,outside,
50,09:29 15/08/2019,18:34 16/08/2019,NatalyaSot,3,inside,
51,18:32 15/08/2019,18:36 16/08/2019,KaileyElli,4,inside,
52,14:35 13/08/2019,18:39 16/08/2019,BridgetMur,6,inside,"babychair,"
53,11:06 15/08/2019,18:41 16/08/2019,EllenCharl,7,inside,
54,14:28 04/08/2019,18:43 16/08/2019,IzabelleRa,5,outside,
55,18:42 16/08/2019,18:51 16/08/2019,MichealCox,2,outside,
56,13:32 15/08/2019,18:53 16/08/2019,OliveMarti,3,inside,"babychair,"
57,15:02 12/08/2019,18:57 16/08/2019,JulianaPie,2,outside,
58,21:56 11/08/2019,18:58 16/08/2019,RalphLopez,5,inside,
59,21:10 15/08/2019,19:05 16/08/2019,KylanFord,4,outside,
60,12:05 15/08/2019,19:15 16/08/2019,AbigayleCa,2,outside,elder
61,18:39 15/08/2019,19:17 16/08/2019,RyleeRobbi,3,inside,
62,14:07 14/08/2019,19:19 16/08/2019,EsperanzaP,7,inside,
63,11:07 15/08/2019,19:29 16/08/2019,MarcoHarpe,3,inside,
64,12:40 15/08/2019,19:31 16/08/2019,HalleArnol,3,outside,
65,21:03 15/08/2019,19:39 16/08/2019,OmarGilber,2,outside,
66,12:09 16/08/2019,19:43 16/08/2019,LarryLloyd,2,inside,
67,18:36 09/08/2019,19:46 16/08/2019,ColtenStew,4,inside,
68,12:33 12/08/2019,19:49 16/08/2019,HaylieDavi,2,outside,
69,17:17 14/08/2019,19:50 16/08/2019,AugustWyat,2,inside,
70,10:55 15/08/2019,19:56 16/08/2019,CassiusCal,2,inside,
71,12:04 14/08/2019,19:57 16/08/2019,JamariTerr,2,inside,
72,18:52 09/08/2019,20:01 16/08/2019,MarcosBuck,2,outside,
73,11:34 13/08/2019,20:02 16/08/2019,LeroyOdom,2,inside,
74,20:19 15/08/2019,20:13 16/08/2019,JaydinFox,2,inside,
75,10:25 16/08/2019,20:14 16/08/2019,EzekielKra,2,inside,
76,18:55 14/08/2019,20:18 16/08/2019,JerimiahCo,6,inside,
77,13:06 16/08/2019,20:18 16/08/2019,AubreyBran,5,inside,
78,18:35 11/08/2019,20:25 16/08/2019,AngeloBaut,6,inside,
79,14:31 15/08/2019,20:28 16/08/2019,AydinGeorg,6,inside,
80,17:37 14/08/2019,20:29 16/08/2019,CarlyLiu,4,inside,
81,13:00 15/08/2019,20:33 16/08/2019,TrentWare,4,outside,"smoking,"
82,17:10 05/08/2019,20:33 16/08/2019,LukeMorale,4,inside,
83,11:20 15/08/2019,20:36 16/08/2019,MalakaiFro,5,inside,
84,11:36 16/08/2019,20:38 16/08/2019,MollieTorr,3,outside,
85,14:37 15/08/2019,20:41 16/08/2019,CristianSh,4,inside,
86,12:53 14/08/2019,20:43 16/08/2019,SanaiOwens,6,inside,
87,19:36 15/08/2019,20:44 16/08/2019,SteveSchne,3,inside,
88,10:47 16/08/2019,20:46 16/08/2019,AshlynnFol,2,outside,
89,19:23 15/08/2019,20:46 16/08/2019,MarilynFit,3,inside,
