,created,date_time,name,people,area,tags
0,15:57 22/03/2021,12:32 06/04/2021,RobertCald,10,inside,
1,19:31 05/04/2021,13:45 06/04/2021,BrendenOco,2,inside,
2,17:03 05/04/2021,15:22 06/04/2021,JulianaPie,3,inside,
3,15:34 31/03/2021,17:00 06/04/2021,LeoHughes,6,outside,
4,12:16 02/04/2021,19:51 06/04/2021,LoganCarde,5,inside,
5,16:14 06/04/2021,20:36 06/04/2021,AydenOconn,2,inside,
6,15:20 01/04/2021,20:36 06/04/2021,DarrenAtki,2,inside,
7,21:28 04/04/2021,21:01 06/04/2021,AlexisPere,8,inside,
